Subsector ID,Subsector,Sector ID,Sector,Year,Companies,Number of Employees LCI
315,Fabricación de Prendas de Vestir,31-33,Industrias Manufactureras,2017,61723,272970
315,Fabricación de Prendas de Vestir,31-33,Industrias Manufactureras,2018,61784,273532
315,Fabricación de Prendas de Vestir,31-33,Industrias Manufactureras,2019,74646,279260
315,Fabricación de Prendas de Vestir,31-33,Industrias Manufactureras,2020,87909,291353
315,Fabricación de Prendas de Vestir,31-33,Industrias Manufactureras,2021,87584,293253
315,Fabricación de Prendas de Vestir,31-33,Industrias Manufactureras,2022,87594,286872
316,"Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",31-33,Industrias Manufactureras,2015,11591,85921
316,"Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",31-33,Industrias Manufactureras,2016,23617,173683
316,"Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",31-33,Industrias Manufactureras,2017,23639,174704
316,"Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",31-33,Industrias Manufactureras,2018,23648,175876
316,"Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",31-33,Industrias Manufactureras,2019,25474,175555
316,"Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",31-33,Industrias Manufactureras,2020,27272,180116
316,"Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",31-33,Industrias Manufactureras,2021,27273,182066
316,"Curtido y Acabado de Cuero y Piel, y Fabricación de Productos de Cuero, Piel y Materiales Sucedáneos",31-33,Industrias Manufactureras,2022,27206,179211
321,Industria de la Madera,31-33,Industrias Manufactureras,2015,23476,26745
321,Industria de la Madera,31-33,Industrias Manufactureras,2016,47407,56737
321,Industria de la Madera,31-33,Industrias Manufactureras,2017,47427,55200
321,Industria de la Madera,31-33,Industrias Manufactureras,2018,47456,55640
321,Industria de la Madera,31-33,Industrias Manufactureras,2019,58515,62594
321,Industria de la Madera,31-33,Industrias Manufactureras,2020,69315,70505
321,Industria de la Madera,31-33,Industrias Manufactureras,2021,69166,70917
321,Industria de la Madera,31-33,Industrias Manufactureras,2022,69223,70851
322,Industria del Papel,31-33,Industrias Manufactureras,2015,4547,56993
322,Industria del Papel,31-33,Industrias Manufactureras,2016,9525,133167
322,Industria del Papel,31-33,Industrias Manufactureras,2017,9796,138989
322,Industria del Papel,31-33,Industrias Manufactureras,2018,9869,144477
322,Industria del Papel,31-33,Industrias Manufactureras,2019,11290,143677
