State ID,State,Investment Type,Year,Country ID,Country,Investment
1,Aguascalientes,Cuentas entre compañías,2021,usa,United States,131.69171142578125
1,Aguascalientes,Cuentas entre compañías,2022,che,Switzerland,-1.649502158164978
1,Aguascalientes,Cuentas entre compañías,2022,deu,Germany,5.180829048156738
1,Aguascalientes,Cuentas entre compañías,2022,esp,Spain,1.743683934211731
1,Aguascalientes,Cuentas entre compañías,2022,fra,France,-15.167474746704102
1,Aguascalientes,Cuentas entre compañías,2022,gbr,United Kingdom,-1.0656754970550537
1,Aguascalientes,Cuentas entre compañías,2022,ita,Italy,-27.02577781677246
1,Aguascalientes,Cuentas entre compañías,2022,jpn,Japan,27.826583862304688
1,Aguascalientes,Cuentas entre compañías,2022,nld,Netherlands,6.369336128234863
1,Aguascalientes,Cuentas entre compañías,2022,swe,Sweden,0.9589017629623413
1,Aguascalientes,Cuentas entre compañías,2022,usa,United States,230.55438232421875
1,Aguascalientes,Cuentas entre compañías,2022,xxa,Unknown,1.095729947090149
1,Aguascalientes,Nuevas inversiones,1999,can,Canada,0.00017499999376013875
1,Aguascalientes,Nuevas inversiones,1999,che,Switzerland,0.0068789999932050705
1,Aguascalientes,Nuevas inversiones,1999,deu,Germany,0.1823430061340332
1,Aguascalientes,Nuevas inversiones,1999,esp,Spain,12.30361270904541
1,Aguascalientes,Nuevas inversiones,1999,fra,France,1.020588994026184
1,Aguascalientes,Nuevas inversiones,1999,gbr,United Kingdom,2.965078115463257
1,Aguascalientes,Nuevas inversiones,1999,jpn,Japan,695.881591796875
1,Aguascalientes,Nuevas inversiones,1999,nld,Netherlands,3.9206271171569824
1,Aguascalientes,Nuevas inversiones,1999,pri,Puerto Rico,0.09737399965524673
1,Aguascalientes,Nuevas inversiones,1999,usa,United States,3.9464030265808105
1,Aguascalientes,Nuevas inversiones,2000,can,Canada,0.71213299036026
1,Aguascalientes,Nuevas inversiones,2000,che,Switzerland,0.01644499972462654
1,Aguascalientes,Nuevas inversiones,2000,deu,Germany,0.04572800174355507
1,Aguascalientes,Nuevas inversiones,2000,esp,Spain,14.242759704589844
1,Aguascalientes,Nuevas inversiones,2000,fra,France,-20.152721405029297
1,Aguascalientes,Nuevas inversiones,2000,gbr,United Kingdom,1.482843041419983
1,Aguascalientes,Nuevas inversiones,2000,ita,Italy,0.029689999297261238
1,Aguascalientes,Nuevas inversiones,2000,jpn,Japan,119.42959594726563
1,Aguascalientes,Nuevas inversiones,2000,nld,Netherlands,0.7149909734725952
1,Aguascalientes,Nuevas inversiones,2000,pri,Puerto Rico,-0.1772949993610382
1,Aguascalientes,Nuevas inversiones,2000,usa,United States,42.135093688964844
1,Aguascalientes,Nuevas inversiones,2001,can,Canada,-0.18735000491142273
1,Aguascalientes,Nuevas inversiones,2001,che,Switzerland,0.0006280000088736415
1,Aguascalientes,Nuevas inversiones,2001,deu,Germany,0.3882119953632355
1,Aguascalientes,Nuevas inversiones,2001,esp,Spain,-0.10336200147867203
1,Aguascalientes,Nuevas inversiones,2001,fra,France,34.99018859863281
1,Aguascalientes,Nuevas inversiones,2001,gbr,United Kingdom,-2.097398042678833
1,Aguascalientes,Nuevas inversiones,2001,jpn,Japan,-1.9735980033874512
1,Aguascalientes,Nuevas inversiones,2001,nld,Netherlands,0.9315369725227356
1,Aguascalientes,Nuevas inversiones,2001,pri,Puerto Rico,0.11935000121593475
1,Aguascalientes,Nuevas inversiones,2001,usa,United States,132.2171630859375
1,Aguascalientes,Nuevas inversiones,2002,bra,Brazil,0.7088599801063538
1,Aguascalientes,Nuevas inversiones,2002,che,Switzerland,4.005070209503174
1,Aguascalientes,Nuevas inversiones,2002,esp,Spain,30.934894561767578
1,Aguascalientes,Nuevas inversiones,2002,fra,France,7.284530162811279
1,Aguascalientes,Nuevas inversiones,2002,gbr,United Kingdom,2.9972310066223145
1,Aguascalientes,Nuevas inversiones,2002,jpn,Japan,2.426476001739502
1,Aguascalientes,Nuevas inversiones,2002,nld,Netherlands,0.9040129780769348
1,Aguascalientes,Nuevas inversiones,2002,pri,Puerto Rico,0.025220999494194984
1,Aguascalientes,Nuevas inversiones,2002,usa,United States,47.25538635253906
1,Aguascalientes,Nuevas inversiones,2003,can,Canada,9.758856773376465
1,Aguascalientes,Nuevas inversiones,2003,esp,Spain,10.238478660583496
1,Aguascalientes,Nuevas inversiones,2003,fra,France,11.629979133605957
1,Aguascalientes,Nuevas inversiones,2003,gbr,United Kingdom,3.971971035003662
