State ID,State,Year,Sector ID,Sector,Investment
1,Aguascalientes,2015,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",5.652070045471191
1,Aguascalientes,2015,31-33,Manufacturing Industries,727.2929067611694
1,Aguascalientes,2015,43,To the Wholesale Trade,19.29722785949707
1,Aguascalientes,2015,46,Retail Trade,20.27486228942871
1,Aguascalientes,2015,48-49,Transportation and Storage,10.116697818040848
1,Aguascalientes,2015,51,Mass Media Information,-11.29047966003418
1,Aguascalientes,2015,52,Financial and Insurance Services,16.2552433013916
1,Aguascalientes,2015,54,"Services Professionals, Scientists and Technicals",11.28477954864502
1,Aguascalientes,2015,56,Support Services to Business and Waste Management and Waste and Remediation Services,10.34846305847168
1,Aguascalientes,2016,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",13.28593635559082
1,Aguascalientes,2016,23,Building,56.08582305908203
1,Aguascalientes,2016,31-33,Manufacturing Industries,463.44969940185547
1,Aguascalientes,2016,43,To the Wholesale Trade,2.925173282623291
1,Aguascalientes,2016,46,Retail Trade,8.893299102783203
1,Aguascalientes,2016,48-49,Transportation and Storage,27.284076690673828
1,Aguascalientes,2016,51,Mass Media Information,7.564493656158447
1,Aguascalientes,2016,52,Financial and Insurance Services,14.845174789428711
1,Aguascalientes,2016,54,"Services Professionals, Scientists and Technicals",-0.8496080636978149
1,Aguascalientes,2016,56,Support Services to Business and Waste Management and Waste and Remediation Services,0.12026552110910416
1,Aguascalientes,2017,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-7.370744705200195
1,Aguascalientes,2017,23,Building,50.558834075927734
1,Aguascalientes,2017,31-33,Manufacturing Industries,1464.0449466705322
1,Aguascalientes,2017,43,To the Wholesale Trade,10.480300903320313
1,Aguascalientes,2017,46,Retail Trade,12.614957809448242
1,Aguascalientes,2017,48-49,Transportation and Storage,19.212974578142166
1,Aguascalientes,2017,51,Mass Media Information,10.25999641418457
1,Aguascalientes,2017,52,Financial and Insurance Services,6.676523208618164
1,Aguascalientes,2017,54,"Services Professionals, Scientists and Technicals",8.77309513092041
1,Aguascalientes,2017,56,Support Services to Business and Waste Management and Waste and Remediation Services,0.4874332547187805
1,Aguascalientes,2018,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",70.00157165527344
1,Aguascalientes,2018,23,Building,127.583740234375
