State ID,State,Year,Workforce,Worked Hours Week,Worked Days Week,Number of Records,Monthly Wage
6,Colima,2021,2329396,25.47673731731316,3.3106745267872015,27796,3946.032186455201
6,Colima,2022,2370531,25.995759599853365,3.3620661362369866,27977,4082.3354952962018
7,Chiapas,2010,12973575,23.234361538743176,3.0300260336877076,42780,1412.5213373337726
7,Chiapas,2011,13152907,23.305078793608136,3.044764932953605,41723,1518.9305830262465
7,Chiapas,2012,13462161,23.159468453838876,3.0400391140768557,41805,1532.1482631948911
7,Chiapas,2013,13723514,22.88508110969246,3.006743680955184,41264,1556.9627617241474
7,Chiapas,2014,13600329,22.234055220281803,2.923703978043472,40851,1549.8959256059172
7,Chiapas,2015,13950538,22.071181842592736,2.9227108660612227,41051,1612.792255753864
7,Chiapas,2016,14353974,21.833405647801786,2.896551923530027,40257,1668.7434740372248
7,Chiapas,2017,14461086,21.282954060296717,2.847854441913975,40009,1682.7071946048866
7,Chiapas,2018,14729518,21.451748658713747,2.829073565068456,39505,1778.5462508006033
7,Chiapas,2019,15069372,22.27393855563457,2.9117732311605287,40504,1855.3415977122338
7,Chiapas,2020,11492457,21.642304426285868,2.8377604545311765,40513,1978.6139856777363
7,Chiapas,2021,15658971,22.238420838763926,2.941389571511436,59668,2151.7096347518623
7,Chiapas,2022,15750758,22.27174774699732,2.9436524896135157,58110,2312.730758862526
8,Chihuahua,2010,10134945,21.345984117328708,2.651925392787035,31699,2214.7834097767673
8,Chihuahua,2011,10225276,20.825674632156627,2.5880584543634813,31608,2110.42541697652
8,Chihuahua,2012,10609008,21.65652311695872,2.6991346410522077,32016,2396.2926217983813
8,Chihuahua,2013,10567494,22.908477260550136,2.8357680638380303,32099,2571.6161486346714
8,Chihuahua,2014,10605966,23.791870914917133,2.904612271998609,33171,2711.2150717812974
8,Chihuahua,2015,10803713,24.274126404505562,2.962835462215629,34076,2956.5941508257392
8,Chihuahua,2016,10913549,25.003653898470606,3.0378876752191246,33412,3566.5186562134827
8,Chihuahua,2017,11006180,24.858356396133807,3.047260902511135,32399,3743.6332634937826
8,Chihuahua,2018,11178898,24.951630026501718,3.0391593160613866,31865,3625.8890768124015
8,Chihuahua,2019,11451228,24.13046897677699,2.959953203272173,45234,3721.564575432434
8,Chihuahua,2020,8799382,23.23105520364953,2.8405067537697533,31065,3694.64825245682
8,Chihuahua,2021,13538564,23.614734103262354,2.9064973212816367,56395,3418.2160330297957
8,Chihuahua,2022,11687056,24.336665966176596,2.990810773902341,45140,4217.158608549493
9,Ciudad de México,2010,27986960,23.824311607977428,2.8838101387217474,30099,2355.488643711214
9,Ciudad de México,2011,27782233,24.517550155165715,2.9427094287201463,29609,2285.424986681236
9,Ciudad de México,2012,27713211,25.625538917161204,3.0850160957530326,29944,2340.8193501287165
9,Ciudad de México,2013,28167557,24.729594831387047,2.993792006882244,30633,2160.8318401911815
9,Ciudad de México,2014,28205069,23.95800230093392,2.911556429803451,30876,1865.0215854107644
9,Ciudad de México,2015,28577267,24.059392698399044,2.9195448606054595,30043,2077.6561517936616
9,Ciudad de México,2016,28462766,24.460930255337797,2.9502334031766275,30084,2161.393220602664
9,Ciudad de México,2017,28652987,24.232170035186908,2.925513664596295,30106,2093.3333459440023
9,Ciudad de México,2018,28791422,24.633614657865806,2.9841023135293563,29743,2090.8175353409083
